,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
498630,498630,Red Planet: Survive,Silent Parrot Studio,Silent Parrot Studio,,7,35,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
575060,575060,Nemo_D.O,GGHF,GGHF,,10,2,0,"0 .. 20,000",0,0,0,0,399,399,0,0
307150,307150,Survival Games,2.0 Studios,2.0 Studios,,24,29,0,"0 .. 20,000",0,0,0,0,299,299,0,0
717800,717800,三国宏图(Great Cause Of The Three Kingdoms),happyzzy.com,happyzzy.com,,18,13,0,"0 .. 20,000",0,0,0,0,599,599,0,1
914680,914680,Crazy Alchemist,5th VR,5th VR,,21,8,0,"0 .. 20,000",0,0,0,0,999,999,0,0
945950,945950,Shopkeepers Tale,Michael Lee,Michael Lee,,3,2,0,"0 .. 20,000",0,0,0,0,199,799,75,0
970190,970190,Sierra Madre: The Wild West,Broken Dream Studio,Broken Dream Studio,,27,19,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
939450,939450,Forklift Simulator 2019,Blind Squirrel Games,Blind Squirrel Entertainment Inc.,,36,15,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
988310,988310,Viola,Jelle van Doorne,Jelle van Doorne,,25,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
983880,983880,Arctic Fleet,Tap by Tap,Tap by Tap,,11,18,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1020120,1020120,A Giant Problem,Critical Charm,Critical Charm,,3,0,0,"0 .. 20,000",0,0,0,0,999,999,0,2
821440,821440,GunnRunner,pixelCast Games,pixelCast Games,,2,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1089640,1089640,Devellage,YukiK Games Development,YukiK Games Development,,2,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
659060,659060,Omega Racers,"Chronos Games, Gillenew",Chronos Games,,3,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1119790,1119790,SAWars,Gatskop Software,Gatskop Software,,8,0,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1193560,1193560,Roast Party,Fraccas,DevFraccas,,14,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1195570,1195570,Dark Invasion VR,Vadim Silver,Vadim Silver,,2,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1211960,1211960,Food Girls - Bubbles' Drink Stand VR,"TorchEntertainment, SimonCreative",SimonCreative,,50,10,0,"0 .. 20,000",0,0,0,0,1399,1399,0,1
1271870,1271870,The Jungle,TecHNQ Studio inc,TecHNQ Studio inc,,2,17,0,"0 .. 20,000",0,0,0,0,999,1999,50,0
1249890,1249890,Survival Denied,What Does This Button Do LLC,What Does This Button Do LLC,,17,0,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1250720,1250720,Libtard: The Satire Game,Wise Monkey Entertainment Ltd.,Wise Monkey Entertainment Ltd.,,7,2,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1289480,1289480,The Hero with a Thousand Arms / 千手英雄,Bitca,Bitca,,2,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1307760,1307760,Fisherman Classic,LGV,LGV,,4,4,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1302400,1302400,Breakout Planet,MavTech,MavTech,,1,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1222930,1222930,VELUCITY,"SEEDGAMES Co., Ltd.","SEEDGAMES Co., Ltd.",,39,50,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
1304090,1304090,Cannibal Crossing,"Everplay Interactive, Blow and Try Again, Rocketcat Games",Rocketcat Games,,31,2,0,"0 .. 20,000",0,0,0,0,1499,1499,0,6
1297790,1297790,Sunday Rivals,26k,26k,,31,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1347960,1347960,Enga Extreme Battle Race,Enga Games,Enga Games,,5,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1371610,1371610,Apple Hopper,FI Pixel,gigantumgames,,6,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1383830,1383830,Breadbox Game Pack,GameHuntGuild,GameHuntGuild,,7,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1370680,1370680,Lucid Steam,Team Lucid Dream,Team Lucid Dream,,1,2,0,"0 .. 20,000",0,0,0,0,1799,1799,0,1
