,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
323370,323370,TERA,"Bluehole, Inc.",En Masse Entertainment,,13148,3457,0,"2,000,000 .. 5,000,000",1573,0,298,0,0,0,0,142
211500,211500,RaceRoom Racing Experience,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",,8612,4091,0,"2,000,000 .. 5,000,000",425,0,31,0,0,0,0,1159
504370,504370,Battlerite,Stunlock Studios,Stunlock Studios,,46266,8723,0,"2,000,000 .. 5,000,000",1127,24,167,47,0,0,0,516
698780,698780,Doki Doki Literature Club!,Team Salvato,Team Salvato,,138775,4527,0,"2,000,000 .. 5,000,000",444,58,83,62,0,0,0,675
302830,302830,BLOCKADE 3D,Novalink,Novalink,,15882,11739,0,"2,000,000 .. 5,000,000",305,0,66,0,0,0,0,38
355840,355840,Survarium,Vostok Games,Vostok Games,,12480,10767,0,"2,000,000 .. 5,000,000",296,339,42,339,0,0,0,462
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,11601,7395,0,"2,000,000 .. 5,000,000",214,0,71,0,0,0,0,4
397900,397900,Business Tour - Board Game with Online Multiplayer,Creobit,8Floor,,24749,15976,0,"2,000,000 .. 5,000,000",583,26,266,41,0,0,0,1762
312990,312990,The Expendabros,Free Lives,Devolver Digital,,16177,469,0,"2,000,000 .. 5,000,000",86,2,49,2,0,0,0,51
386180,386180,Crossout,Targem Games,Gaijin Distribution KFT,,27732,9178,0,"2,000,000 .. 5,000,000",659,1231,131,1734,0,0,0,3972
262410,262410,World of Guns: Gun Disassembly,Noble Empire Corp.,Noble Empire Corp.,,12940,2692,0,"2,000,000 .. 5,000,000",207,0,52,0,0,0,0,154
884660,884660,Cuisine Royale,Darkflow Software,Gaijin Distribution KFT,,22446,5127,0,"2,000,000 .. 5,000,000",324,294,48,269,0,0,0,764
224600,224600,Defiance,Trion Worlds,Trion Worlds,,9569,2975,0,"2,000,000 .. 5,000,000",834,0,145,0,0,0,0,56
299360,299360,Block N Load,"Toadman Interactive, Artplant",Toadman Interactive,,11872,3357,0,"2,000,000 .. 5,000,000",429,21,73,21,0,0,0,81
200210,200210,Realm of the Mad God Exalt,"Wild Shadow Studios, Deca Games",Deca Games,,30644,5678,0,"2,000,000 .. 5,000,000",861,1040,78,1040,0,0,0,2669
380600,380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,18889,4380,0,"2,000,000 .. 5,000,000",866,0,44,0,0,0,0,2453
99900,99900,Spiral Knights,"Grey Havens, LLC","Grey Havens, LLC",,17683,3392,0,"2,000,000 .. 5,000,000",1497,16,107,16,0,0,0,247
355180,355180,Codename CURE,Hoobalugalar_X,Hoobalugalar_X,,12754,2478,0,"2,000,000 .. 5,000,000",226,0,35,0,0,0,0,50
242720,242720,GunZ 2: The Second Duel,"Masangsoft, Inc.","Masangsoft, Inc.",,6955,3528,0,"2,000,000 .. 5,000,000",383,0,124,0,0,0,0,9
212500,212500,The Lord of the Rings Online,"Standing Stone Games, LLC","Standing Stone Games, LLC",,9414,2287,0,"2,000,000 .. 5,000,000",610,73,152,73,0,0,0,1278
203770,203770,Crusader Kings II,Paradox Development Studio,Paradox Interactive,,54366,6055,0,"2,000,000 .. 5,000,000",4213,1225,256,1291,0,0,0,4502
335240,335240,Transformice,Atelier 801,Atelier 801,,15070,2477,0,"2,000,000 .. 5,000,000",1245,477,29,477,0,0,0,1436
209870,209870,Blacklight: Retribution,"Hardsuit Labs, Inc.","Hardsuit Labs, Inc.",,12422,4136,0,"2,000,000 .. 5,000,000",1681,0,123,0,0,0,0,1
286940,286940,S.K.I.L.L. - Special Force 2 (Shooter),"Dragonfly GF Co., LTD",Gameforge 4D GmbH,,7982,3535,0,"2,000,000 .. 5,000,000",252,0,99,0,0,0,0,1
391460,391460,WARMODE,Novalink,Novalink,,10324,6582,0,"2,000,000 .. 5,000,000",73,0,22,0,0,0,0,32
563560,563560,Alien Swarm: Reactive Drop,Reactive Drop Team,Reactive Drop Team,,11940,699,0,"2,000,000 .. 5,000,000",259,127,85,131,0,0,0,326
316010,316010,Magic Duels,Stainless Games Ltd.,Wizards of the Coast LLC,,16960,7056,0,"2,000,000 .. 5,000,000",246,7,83,7,0,0,0,100
744900,744900,Dead Frontier 2,Creaky Corpse Ltd,Creaky Corpse Ltd,,10562,4428,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,645
845070,845070,The Awesome Adventures of Captain Spirit,DONTNOD Entertainment,Square Enix,,10229,812,0,"2,000,000 .. 5,000,000",110,0,85,0,0,0,0,29
223750,223750,DCS World Steam Edition,Eagle Dynamics SA,The Fighter Collection,,10779,2371,0,"2,000,000 .. 5,000,000",209,744,26,744,0,0,0,1233
39120,39120,RIFT,Trion Worlds,Trion Worlds,,7448,2511,0,"2,000,000 .. 5,000,000",1467,0,319,0,0,0,0,337
8500,8500,EVE Online,CCP,CCP,,15522,4785,0,"2,000,000 .. 5,000,000",1631,35,129,35,0,0,0,5320
530700,530700,Argo,Bohemia Interactive,Bohemia Interactive,,5256,5324,0,"2,000,000 .. 5,000,000",225,0,30,0,0,0,0,70
372000,372000,Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",,11680,6610,0,"2,000,000 .. 5,000,000",1538,0,257,0,0,0,0,1878
24200,24200,DC Universe Online,Dimensional Ink Games,Daybreak Game Company,,12256,3190,0,"2,000,000 .. 5,000,000",2674,0,452,0,0,0,0,576
206210,206210,Gotham City Impostors Free to Play,"Monolith Productions, Inc.",Warner Bros. Interactive Entertainment,,9710,1818,0,"2,000,000 .. 5,000,000",285,0,100,0,0,0,0,15
225840,225840,Sven Co-op,Sven Co-op team,Sven Co-op team,,17101,1404,0,"2,000,000 .. 5,000,000",397,18,80,18,0,0,0,410
203290,203290,America's Army: Proving Grounds,U.S. Army,U.S. Army,,7455,2021,0,"2,000,000 .. 5,000,000",140,0,32,0,0,0,0,476
268420,268420,Aura Kingdom,X-Legend,Aeria Games,,6547,1732,0,"2,000,000 .. 5,000,000",453,0,126,0,0,0,0,284
389570,389570,Mitos.is: The Game,Freakinware Studios,Freakinware Studios,,9530,2223,0,"2,000,000 .. 5,000,000",3767,0,67,0,0,0,0,86
601510,601510,Yu-Gi-Oh! Duel Links,Konami Digital Entertainment,Konami Digital Entertainment,,20744,4195,0,"2,000,000 .. 5,000,000",3071,2231,134,2231,0,0,0,8772
905370,905370,Conqueror's Blade,Booming Games,MY.GAMES,,9574,3699,0,"2,000,000 .. 5,000,000",2513,624,163,936,0,0,0,8894
248570,248570,Toribash,Nabi Studios,"Nicalis, Inc.",,12497,1624,0,"2,000,000 .. 5,000,000",511,0,49,0,0,0,0,161
766570,766570,Russian Fishing 4,Russian Fishing,Russian Fishing,,9626,3519,0,"2,000,000 .. 5,000,000",1303,0,49,0,0,0,0,4932
436520,436520,Line of Sight,BlackSpot Entertainment,BlackSpot Entertainment,,5053,3584,0,"2,000,000 .. 5,000,000",122,0,46,0,0,0,0,62
677620,677620,Splitgate: Arena Warfare,1047 Games,1047 Games,,8568,1883,0,"2,000,000 .. 5,000,000",190,0,149,0,0,0,0,288
317360,317360,Double Action: Boogaloo,Double Action Factory,Double Action Factory,,9921,799,0,"2,000,000 .. 5,000,000",112,0,55,0,0,0,0,17
9900,9900,Star Trek Online,Cryptic Studios,Perfect World Entertainment,,10498,2966,0,"2,000,000 .. 5,000,000",4001,18,1091,18,0,0,0,1594
214420,214420,Gear Up,Doctor Entertainment AB,Doctor Entertainment AB,,6420,2225,0,"2,000,000 .. 5,000,000",200,0,49,0,0,0,0,9
424280,424280,Iron Snout,SnoutUp,SnoutUp,,15561,315,0,"2,000,000 .. 5,000,000",69,0,35,0,0,0,0,42
204300,204300,Awesomenauts - the 2D moba,Ronimo Games,Ronimo Games,,21828,3859,0,"2,000,000 .. 5,000,000",657,111,242,111,0,0,0,306
611500,611500,Quake Champions,id Software,Bethesda Softworks,,21794,8702,0,"2,000,000 .. 5,000,000",224,32,74,32,0,0,0,915
630100,630100,SoulWorker - Anime Action MMO,"Lion Games Co., Ltd.",Gameforge 4D GmbH,,10903,2767,0,"2,000,000 .. 5,000,000",570,0,102,0,0,0,0,829
212070,212070,Star Conflict,Star Gem Inc.,Gaijin Distribution KFT,,9859,3188,0,"1,000,000 .. 2,000,000",1133,305,135,305,0,0,0,312
871720,871720,Ultimate Custom Night,Scott Cawthon,Scott Cawthon,,18616,810,0,"1,000,000 .. 2,000,000",236,30,109,30,0,0,0,438
389430,389430,Knight Online,"Noah System, Mgame",NTTGame,,4369,4733,0,"1,000,000 .. 2,000,000",7537,0,580,0,0,0,0,1835
298240,298240,WT3,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,5006,3388,0,"1,000,000 .. 2,000,000",161,0,27,0,0,0,0,23
349700,349700,Romero's Aftermath,Free Reign Entertainment,"OP Productions LLC, Free Reign East LLC",,5632,5961,0,"1,000,000 .. 2,000,000",222,0,89,0,0,0,0,1
113420,113420,Fallen Earth Free2Play,Little Orbit,Little Orbit,,3987,3124,0,"1,000,000 .. 2,000,000",345,0,45,0,0,0,0,1
1286830,1286830,STAR WARS: The Old Republic,BioWare,Electronic Arts,,10786,1514,0,"1,000,000 .. 2,000,000",1515,689,386,1224,0,0,0,8506
550900,550900,Metin2,WEBZEN Inc.,Gameforge 4D GmbH,,7556,3642,0,"1,000,000 .. 2,000,000",1405,1625,87,1625,0,0,0,1254
207230,207230,ArcheBlade,CodeBrush Games,Codebrush Games,,5682,2100,0,"1,000,000 .. 2,000,000",134,0,66,0,0,0,0,7
206500,206500,AirMech Strike,Carbon Games,Carbon Games,,8152,1511,0,"1,000,000 .. 2,000,000",662,0,130,0,0,0,0,29
442080,442080,Riders of Icarus,WeMade,VALOFE,,6404,3186,0,"1,000,000 .. 2,000,000",2331,0,86,0,0,0,0,552
